movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,comb
shakespeare in love,John Madden,Tom Wilkinson,Martin Clunes,Simon Callow,Comedy Drama Romance,Tom Wilkinson Martin Clunes Simon Callow John Madden Comedy Drama Romance
a walk among the tombstones,Scott Frank,Liam Neeson,Boyd Holbrook,David Harbour,Crime Drama Mystery Thriller,Liam Neeson Boyd Holbrook David Harbour Scott Frank Crime Drama Mystery Thriller
kindergarten cop,Ivan Reitman,Richard Tyson,Cathy Moriarty,Penelope Ann Miller,Action Comedy Crime,Richard Tyson Cathy Moriarty Penelope Ann Miller Ivan Reitman Action Comedy Crime
pineapple express,David Gordon Green,James Franco,Gary Cole,Rosie Perez,Action Comedy Crime,James Franco Gary Cole Rosie Perez David Gordon Green Action Comedy Crime
ever after: a cinderella story,Andy Tennant,Anjelica Huston,Dougray Scott,Jeanne Moreau,Comedy Drama Romance,Anjelica Huston Dougray Scott Jeanne Moreau Andy Tennant Comedy Drama Romance
open range,Kevin Costner,Robert Duvall,Michael Jeter,Julian Richings,Drama Romance Western,Robert Duvall Michael Jeter Julian Richings Kevin Costner Drama Romance Western
flatliners,Joel Schumacher,Julia Roberts,Oliver Platt,Hope Davis,Drama Horror Sci-Fi Thriller,Julia Roberts Oliver Platt Hope Davis Joel Schumacher Drama Horror Sci-Fi Thriller
it's always sunny in philadelphia            ,unknown,Rob McElhenney,Kaitlin Olson,Glenn Howerton,Comedy,Rob McElhenney Kaitlin Olson Glenn Howerton unknown Comedy
a bridge too far,Richard Attenborough,Ryan O'Neal,Dirk Bogarde,Wolfgang Preiss,Drama History War,Ryan O'Neal Dirk Bogarde Wolfgang Preiss Richard Attenborough Drama History War
red eye,Wes Craven,Robert Pine,Carl Gilliard,Suzie Plakson,Mystery Thriller,Robert Pine Carl Gilliard Suzie Plakson Wes Craven Mystery Thriller
final destination 2,David R. Ellis,Sarah Carter,Michael Landes,Keegan Connor Tracy,Horror Thriller,Sarah Carter Michael Landes Keegan Connor Tracy David R. Ellis Horror Thriller
"o brother, where art thou?",Joel Coen,Holly Hunter,Tim Blake Nelson,Daniel von Bargen,Adventure Comedy Crime Music,Holly Hunter Tim Blake Nelson Daniel von Bargen Joel Coen Adventure Comedy Crime Music
legion,Scott Stewart,Dennis Quaid,Kate Walsh,Charles S. Dutton,Action Fantasy Horror,Dennis Quaid Kate Walsh Charles S. Dutton Scott Stewart Action Fantasy Horror
pain & gain,Michael Bay,Dwayne Johnson,Larry Hankin,Michael Rispoli,Comedy Crime Drama,Dwayne Johnson Larry Hankin Michael Rispoli Michael Bay Comedy Crime Drama
in good company,Paul Weitz,Scarlett Johansson,Ty Burrell,Dennis Quaid,Comedy Drama Romance,Scarlett Johansson Ty Burrell Dennis Quaid Paul Weitz Comedy Drama Romance
clockstoppers,Jonathan Frakes,Michael Biehn,Paula Garcés,Jason George,Action Adventure Comedy Sci-Fi Thriller,Michael Biehn Paula Garcés Jason George Jonathan Frakes Action Adventure Comedy Sci-Fi Thriller
silverado,Lawrence Kasdan,Scott Glenn,Todd Allen,Brad Leland,Action Crime Drama Western,Scott Glenn Todd Allen Brad Leland Lawrence Kasdan Action Crime Drama Western
agent cody banks 2: destination london,Kevin Allen,Daniel Roebuck,Frankie Muniz,David Kelly,Action Adventure Comedy Family Romance Sci-Fi,Daniel Roebuck Frankie Muniz David Kelly Kevin Allen Action Adventure Comedy Family Romance Sci-Fi
new year's eve,Garry Marshall,Robert De Niro,Common,Seth Meyers,Comedy Romance,Robert De Niro Common Seth Meyers Garry Marshall Comedy Romance
original sin,Michael Cristofer,Angelina Jolie Pitt,Gregory Itzin,Jack Thompson,Drama Mystery Romance Thriller,Angelina Jolie Pitt Gregory Itzin Jack Thompson Michael Cristofer Drama Mystery Romance Thriller
the raven,James McTeigue,Pam Ferris,Dave Legeno,Kevin McNally,Crime Mystery Thriller,Pam Ferris Dave Legeno Kevin McNally James McTeigue Crime Mystery Thriller
welcome to mooseport,Donald Petrie,Rip Torn,Ray Romano,Maura Tierney,Comedy Romance,Rip Torn Ray Romano Maura Tierney Donald Petrie Comedy Romance
highlander: the final dimension,Andrew Morahan,Christopher Lambert,Mako,Mario Van Peebles,Action Fantasy Romance Sci-Fi,Christopher Lambert Mako Mario Van Peebles Andrew Morahan Action Fantasy Romance Sci-Fi
blood and wine,Bob Rafelson,Harold Perrineau,Mike Starr,Judy Davis,Crime Drama Thriller,Harold Perrineau Mike Starr Judy Davis Bob Rafelson Crime Drama Thriller
snow white: a tale of terror,Michael Cohn,David Conrad,Chris Bauer,Monica Keena,Fantasy Horror,David Conrad Chris Bauer Monica Keena Michael Cohn Fantasy Horror
the curse of the jade scorpion,Woody Allen,Woody Allen,Elizabeth Berkley,Peter Gerety,Comedy Crime Mystery Romance,Woody Allen Elizabeth Berkley Peter Gerety Woody Allen Comedy Crime Mystery Romance
accidental love,David O. Russell,Jake Gyllenhaal,Kirstie Alley,Beverly D'Angelo,Comedy Romance,Jake Gyllenhaal Kirstie Alley Beverly D'Angelo David O. Russell Comedy Romance
flipper,Alan Shapiro,Paul Hogan,Chelsea Field,Jessica Wesson,Adventure Family,Paul Hogan Chelsea Field Jessica Wesson Alan Shapiro Adventure Family
self/less,Tarsem Singh,Ryan Reynolds,Derek Luke,Sandra Ellis Lafferty,Action Mystery Sci-Fi Thriller,Ryan Reynolds Derek Luke Sandra Ellis Lafferty Tarsem Singh Action Mystery Sci-Fi Thriller
the constant gardener,Fernando Meirelles,Archie Panjabi,Danny Huston,Donald Sumpter,Drama Mystery Romance Thriller,Archie Panjabi Danny Huston Donald Sumpter Fernando Meirelles Drama Mystery Romance Thriller
the passion of the christ,Mel Gibson,Christo Jivkov,Maia Morgenstern,Hristo Shopov,Drama,Christo Jivkov Maia Morgenstern Hristo Shopov Mel Gibson Drama
mrs. doubtfire,Chris Columbus,Robin Williams,Mara Wilson,Matthew Lawrence,Comedy Drama Family Romance,Robin Williams Mara Wilson Matthew Lawrence Chris Columbus Comedy Drama Family Romance
rain man,Barry Levinson,Tom Cruise,Valeria Golino,Beth Grant,Drama,Tom Cruise Valeria Golino Beth Grant Barry Levinson Drama
gran torino,Clint Eastwood,Clint Eastwood,Dreama Walker,Ahney Her,Drama,Clint Eastwood Dreama Walker Ahney Her Clint Eastwood Drama
w.,Oliver Stone,Toby Jones,Scott Glenn,Bruce McGill,Biography Drama History,Toby Jones Scott Glenn Bruce McGill Oliver Stone Biography Drama History
taken,Pierre Morel,Liam Neeson,Holly Valance,Xander Berkeley,Action Thriller,Liam Neeson Holly Valance Xander Berkeley Pierre Morel Action Thriller
the best of me,Michael Hoffman,Luke Bracey,Gerald McRaney,Clarke Peters,Drama Romance,Luke Bracey Gerald McRaney Clarke Peters Michael Hoffman Drama Romance
the bodyguard,Mick Jackson,Bill Cobbs,Mike Starr,DeVaughn Nixon,Action Drama Music Romance,Bill Cobbs Mike Starr DeVaughn Nixon Mick Jackson Action Drama Music Romance
schindler's list,Steven Spielberg,Liam Neeson,Embeth Davidtz,Caroline Goodall,Biography Drama History,Liam Neeson Embeth Davidtz Caroline Goodall Steven Spielberg Biography Drama History
the help,Tate Taylor,Emma Stone,Bryce Dallas Howard,Mike Vogel,Drama,Emma Stone Bryce Dallas Howard Mike Vogel Tate Taylor Drama
the fifth estate,Bill Condon,Benedict Cumberbatch,Peter Capaldi,Jamie Blackley,Biography Drama Thriller,Benedict Cumberbatch Peter Capaldi Jamie Blackley Bill Condon Biography Drama Thriller
scooby-doo 2: monsters unleashed,Raja Gosnell,Sarah Michelle Gellar,Linda Cardellini,Tim Blake Nelson,Adventure Comedy Family Fantasy Horror Mystery,Sarah Michelle Gellar Linda Cardellini Tim Blake Nelson Raja Gosnell Adventure Comedy Family Fantasy Horror Mystery
viy,Oleg Stepchenko,Jason Flemyng,Igor Jijikine,Agnia Ditkovskite,Adventure Fantasy Mystery Thriller,Jason Flemyng Igor Jijikine Agnia Ditkovskite Oleg Stepchenko Adventure Fantasy Mystery Thriller
freddy vs. jason,Ronny Yu,Katharine Isabelle,Jason Ritter,Zack Ward,Action Horror Thriller,Katharine Isabelle Jason Ritter Zack Ward Ronny Yu Action Horror Thriller
the face of an angel,Michael Winterbottom,Cara Delevingne,Ava Acres,Sara Stewart,Drama,Cara Delevingne Ava Acres Sara Stewart Michael Winterbottom Drama
jimmy neutron: boy genius,John A. Davis,Martin Short,Rob Paulsen,Andrea Martin,Action Adventure Animation Comedy Family Sci-Fi,Martin Short Rob Paulsen Andrea Martin John A. Davis Action Adventure Animation Comedy Family Sci-Fi
cloverfield,Matt Reeves,Mike Vogel,Ben Feldman,Liza Lapira,Action Adventure Horror Sci-Fi,Mike Vogel Ben Feldman Liza Lapira Matt Reeves Action Adventure Horror Sci-Fi
teenage mutant ninja turtles ii: the secret of the ooze,Michael Pressman,Kevin Nash,Paige Turco,Ernie Reyes Jr.,Action Adventure Comedy Family Sci-Fi,Kevin Nash Paige Turco Ernie Reyes Jr. Michael Pressman Action Adventure Comedy Family Sci-Fi
the untouchables,Brian De Palma,Robert De Niro,Billy Drago,Charles Martin Smith,Crime Drama Thriller,Robert De Niro Billy Drago Charles Martin Smith Brian De Palma Crime Drama Thriller
no country for old men,Ethan Coen,Kelly Macdonald,Stephen Root,Barry Corbin,Crime Drama Thriller,Kelly Macdonald Stephen Root Barry Corbin Ethan Coen Crime Drama Thriller
ride along,Tim Story,Bruce McGill,Tika Sumpter,Bryan Callen,Action Comedy Crime Romance,Bruce McGill Tika Sumpter Bryan Callen Tim Story Action Comedy Crime Romance
bridget jones's diary,Sharon Maguire,Colin Firth,Jim Broadbent,Shirley Henderson,Comedy Drama Romance,Colin Firth Jim Broadbent Shirley Henderson Sharon Maguire Comedy Drama Romance
chocolat,Lasse Hallström,Lena Olin,Leslie Caron,Hugh O'Conor,Drama Romance,Lena Olin Leslie Caron Hugh O'Conor Lasse Hallström Drama Romance
"legally blonde 2: red, white & blonde",Charles Herman-Wurmfeld,Mary Lynn Rajskub,Bruce McGill,Bob Newhart,Comedy,Mary Lynn Rajskub Bruce McGill Bob Newhart Charles Herman-Wurmfeld Comedy
parental guidance,Andy Fickman,Bailee Madison,Gedde Watanabe,Tom Everett Scott,Comedy Family,Bailee Madison Gedde Watanabe Tom Everett Scott Andy Fickman Comedy Family
no strings attached,Ivan Reitman,Natalie Portman,Greta Gerwig,Mindy Kaling,Comedy Romance,Natalie Portman Greta Gerwig Mindy Kaling Ivan Reitman Comedy Romance
tombstone,George P. Cosmatos,Michael Biehn,Dana Delany,Powers Boothe,Action Biography Drama History Romance Western,Michael Biehn Dana Delany Powers Boothe George P. Cosmatos Action Biography Drama History Romance Western
romeo must die,Andrzej Bartkowiak,Jet Li,Delroy Lindo,Aaliyah,Action Crime Thriller,Jet Li Delroy Lindo Aaliyah Andrzej Bartkowiak Action Crime Thriller
final destination 3,James Wong,Chelan Simmons,Gina Holden,Crystal Lowe,Horror,Chelan Simmons Gina Holden Crystal Lowe James Wong Horror
the lucky one,Scott Hicks,Blythe Danner,Riley Thomas Stewart,Jay R. Ferguson,Drama Romance,Blythe Danner Riley Thomas Stewart Jay R. Ferguson Scott Hicks Drama Romance
bridge to terabithia,Gabor Csupo,Josh Hutcherson,Zooey Deschanel,Bailee Madison,Adventure Drama Family Fantasy,Josh Hutcherson Zooey Deschanel Bailee Madison Gabor Csupo Adventure Drama Family Fantasy
finding neverland,Marc Forster,Johnny Depp,Kate Winslet,Kelly Macdonald,Biography Drama Family,Johnny Depp Kate Winslet Kelly Macdonald Marc Forster Biography Drama Family
a madea christmas,Tyler Perry,Alicia Witt,Tika Sumpter,Larry the Cable Guy,Comedy Drama,Alicia Witt Tika Sumpter Larry the Cable Guy Tyler Perry Comedy Drama
the grey,Joe Carnahan,Liam Neeson,Frank Grillo,James Badge Dale,Action Adventure Drama Thriller,Liam Neeson Frank Grillo James Badge Dale Joe Carnahan Action Adventure Drama Thriller
hide and seek,John Polson,Robert De Niro,Dylan Baker,Robert John Burke,Drama Horror Mystery Thriller,Robert De Niro Dylan Baker Robert John Burke John Polson Drama Horror Mystery Thriller
anchorman: the legend of ron burgundy,Adam McKay,Darcy Donavan,Will Ferrell,Steve Carell,Comedy,Darcy Donavan Will Ferrell Steve Carell Adam McKay Comedy
goodfellas,Martin Scorsese,Robert De Niro,Mike Starr,Paul Sorvino,Biography Crime Drama,Robert De Niro Mike Starr Paul Sorvino Martin Scorsese Biography Crime Drama
agent cody banks,Harald Zwart,Daniel Roebuck,Frankie Muniz,Chris Gauthier,Action Adventure Comedy Crime Family Romance Thriller,Daniel Roebuck Frankie Muniz Chris Gauthier Harald Zwart Action Adventure Comedy Crime Family Romance Thriller
nanny mcphee,Kirk Jones,Colin Firth,Kelly Macdonald,Imelda Staunton,Comedy Family Fantasy,Colin Firth Kelly Macdonald Imelda Staunton Kirk Jones Comedy Family Fantasy
scarface,Brian De Palma,Al Pacino,F. Murray Abraham,Mary Elizabeth Mastrantonio,Crime Drama,Al Pacino F. Murray Abraham Mary Elizabeth Mastrantonio Brian De Palma Crime Drama
nothing to lose,Steve Oedekerk,Kelly Preston,Michael McKean,Rebecca Gayheart,Action Adventure Comedy Crime,Kelly Preston Michael McKean Rebecca Gayheart Steve Oedekerk Action Adventure Comedy Crime
the last emperor,Bernardo Bertolucci,Cary-Hiroyuki Tagawa,Joan Chen,Victor Wong,Biography Drama History,Cary-Hiroyuki Tagawa Joan Chen Victor Wong Bernardo Bertolucci Biography Drama History
contraband,Baltasar Kormákur,J.K. Simmons,David O'Hara,Lukas Haas,Action Crime Drama Thriller,J.K. Simmons David O'Hara Lukas Haas Baltasar Kormákur Action Crime Drama Thriller
money talks,Brett Ratner,Heather Locklear,Paul Sorvino,Faizon Love,Action Comedy Crime Thriller,Heather Locklear Paul Sorvino Faizon Love Brett Ratner Action Comedy Crime Thriller
there will be blood,Paul Thomas Anderson,Jim Meskimen,Paul F. Tompkins,Kevin Breznahan,Drama,Jim Meskimen Paul F. Tompkins Kevin Breznahan Paul Thomas Anderson Drama
the wild thornberrys movie,Cathy Malkasian,Alfre Woodard,Flea,Cree Summer,Adventure Animation Comedy Family Fantasy,Alfre Woodard Flea Cree Summer Cathy Malkasian Adventure Animation Comedy Family Fantasy
rugrats go wild,John Eng,Elizabeth Daily,Cree Summer,Nancy Cartwright,Adventure Animation Comedy Family Fantasy Musical,Elizabeth Daily Cree Summer Nancy Cartwright John Eng Adventure Animation Comedy Family Fantasy Musical
undercover brother,Malcolm D. Lee,Dave Chappelle,Eddie Griffin,Chi McBride,Action Comedy,Dave Chappelle Eddie Griffin Chi McBride Malcolm D. Lee Action Comedy
the sisterhood of the traveling pants,Ken Kwapis,Mike Vogel,America Ferrera,Kyle Schmid,Comedy Drama Family Romance,Mike Vogel America Ferrera Kyle Schmid Ken Kwapis Comedy Drama Family Romance
kiss of the dragon,Chris Nahon,Jet Li,Bridget Fonda,Max Ryan,Action Crime Drama Thriller,Jet Li Bridget Fonda Max Ryan Chris Nahon Action Crime Drama Thriller
the house bunny,Fred Wolf,Emma Stone,Katharine McPhee,Beverly D'Angelo,Comedy Romance,Emma Stone Katharine McPhee Beverly D'Angelo Fred Wolf Comedy Romance
beauty shop,Bille Woodruff,Alfre Woodard,Keshia Knight Pulliam,LisaRaye McCoy,Comedy,Alfre Woodard Keshia Knight Pulliam LisaRaye McCoy Bille Woodruff Comedy
million dollar arm,Craig Gillespie,Jon Hamm,Suraj Sharma,Gregory Alan Williams,Biography Drama Sport,Jon Hamm Suraj Sharma Gregory Alan Williams Craig Gillespie Biography Drama Sport
the giver,Phillip Noyce,Jeff Bridges,Meryl Streep,Alexander Skarsgård,Drama Romance Sci-Fi,Jeff Bridges Meryl Streep Alexander Skarsgård Phillip Noyce Drama Romance Sci-Fi
what a girl wants,Dennie Gordon,Colin Firth,Oliver James,Kelly Preston,Comedy Drama Family Romance,Colin Firth Oliver James Kelly Preston Dennie Gordon Comedy Drama Family Romance
jeepers creepers ii,Victor Salva,Nicki Aycox,Jonathan Breck,Billy Aaron Brown,Horror,Nicki Aycox Jonathan Breck Billy Aaron Brown Victor Salva Horror
good luck chuck,Mark Helfrich,Dane Cook,Dan Fogler,Chelan Simmons,Comedy Romance,Dane Cook Dan Fogler Chelan Simmons Mark Helfrich Comedy Romance
cradle 2 the grave,Andrzej Bartkowiak,Jet Li,Tom Arnold,DMX,Action Crime Drama Thriller,Jet Li Tom Arnold DMX Andrzej Bartkowiak Action Crime Drama Thriller
the hours,Stephen Daldry,Meryl Streep,Stephen Dillane,Miranda Richardson,Drama Romance,Meryl Streep Stephen Dillane Miranda Richardson Stephen Daldry Drama Romance
she's the man,Andy Fickman,Channing Tatum,Alexandra Breckenridge,Laura Ramsey,Comedy Romance,Channing Tatum Alexandra Breckenridge Laura Ramsey Andy Fickman Comedy Romance
mr. bean's holiday,Steve Bendelack,Lily Atkinson,Emma de Caunes,Steve Pemberton,Comedy Family,Lily Atkinson Emma de Caunes Steve Pemberton Steve Bendelack Comedy Family
anacondas: the hunt for the blood orchid,Dwight H. Little,Nicholas Gonzalez,Salli Richardson-Whitfield,Johnny Messner,Action Adventure Horror Thriller,Nicholas Gonzalez Salli Richardson-Whitfield Johnny Messner Dwight H. Little Action Adventure Horror Thriller
blood ties,Guillaume Canet,Mila Kunis,Lili Taylor,Billy Crudup,Crime Drama Thriller,Mila Kunis Lili Taylor Billy Crudup Guillaume Canet Crime Drama Thriller
august rush,Kirsten Sheridan,Robin Williams,Aaron Staton,Marian Seldes,Drama Music,Robin Williams Aaron Staton Marian Seldes Kirsten Sheridan Drama Music
elizabeth,Shekhar Kapur,Fanny Ardant,John Gielgud,Eric Cantona,Biography Drama History,Fanny Ardant John Gielgud Eric Cantona Shekhar Kapur Biography Drama History
bride of chucky,Ronny Yu,Alexis Arquette,Park Bench,Vince Corazza,Comedy Fantasy Horror Romance,Alexis Arquette Park Bench Vince Corazza Ronny Yu Comedy Fantasy Horror Romance
tora! tora! tora!,Richard Fleischer,Joseph Cotten,Richard Anderson,James Whitmore,Action Drama History War,Joseph Cotten Richard Anderson James Whitmore Richard Fleischer Action Drama History War
spice world,Bob Spiers,Jason Flemyng,Richard Briers,Victoria Beckham,Comedy Family Music,Jason Flemyng Richard Briers Victoria Beckham Bob Spiers Comedy Family Music
the sitter,David Gordon Green,Ari Graynor,J.B. Smoove,Kylie Bunbury,Comedy,Ari Graynor J.B. Smoove Kylie Bunbury David Gordon Green Comedy
dance flick,Damien Dante Wayans,Damon Wayans Jr.,Essence Atkins,Chris Elliott,Action Comedy Music,Damon Wayans Jr. Essence Atkins Chris Elliott Damien Dante Wayans Action Comedy Music
the shawshank redemption,Frank Darabont,Morgan Freeman,Jeffrey DeMunn,Bob Gunton,Crime Drama,Morgan Freeman Jeffrey DeMunn Bob Gunton Frank Darabont Crime Drama
crocodile dundee in los angeles,Simon Wincer,Jere Burns,Paul Hogan,Linda Kozlowski,Adventure Comedy Crime,Jere Burns Paul Hogan Linda Kozlowski Simon Wincer Adventure Comedy Crime
kingpin,Bobby Farrelly,Bill Murray,Lin Shaye,Richard Tyson,Comedy Sport,Bill Murray Lin Shaye Richard Tyson Bobby Farrelly Comedy Sport
august: osage county,John Wells,Benedict Cumberbatch,Meryl Streep,Julia Roberts,Drama,Benedict Cumberbatch Meryl Streep Julia Roberts John Wells Drama
ice princess,Tim Fywell,Connie Ray,Trevor Blumas,Amy Stewart,Comedy Drama Family Sport,Connie Ray Trevor Blumas Amy Stewart Tim Fywell Comedy Drama Family Sport
a lot like love,Nigel Cole,Aimee Garcia,Tyrone Giordano,James Read,Comedy Drama Romance,Aimee Garcia Tyrone Giordano James Read Nigel Cole Comedy Drama Romance
he got game,Spike Lee,Denzel Washington,Milla Jovovich,Rosario Dawson,Drama Sport,Denzel Washington Milla Jovovich Rosario Dawson Spike Lee Drama Sport
don juan demarco,Jeremy Leven,Johnny Depp,Marlon Brando,Faye Dunaway,Comedy Drama Romance,Johnny Depp Marlon Brando Faye Dunaway Jeremy Leven Comedy Drama Romance
shaun the sheep            ,unknown,Justin Fletcher,John Sparkes,Kate Harbour,Animation Comedy Family,Justin Fletcher John Sparkes Kate Harbour unknown Animation Comedy Family
dear john,Lasse Hallström,Channing Tatum,Henry Thomas,Scott Porter,Drama Romance War,Channing Tatum Henry Thomas Scott Porter Lasse Hallström Drama Romance War
the losers,Sylvain White,Chris Evans,Jason Patric,Óscar Jaenada,Action Crime Drama Mystery Thriller,Chris Evans Jason Patric Óscar Jaenada Sylvain White Action Crime Drama Mystery Thriller
don't be afraid of the dark,Troy Nixey,Bailee Madison,Alan Dale,Jack Thompson,Fantasy Horror Thriller,Bailee Madison Alan Dale Jack Thompson Troy Nixey Fantasy Horror Thriller
war,Philip G. Atwell,Jason Statham,Jet Li,Nadine Velazquez,Action Crime Thriller,Jason Statham Jet Li Nadine Velazquez Philip G. Atwell Action Crime Thriller
punch-drunk love,Paul Thomas Anderson,Adam Sandler,Emily Watson,Don McManus,Comedy Drama Romance Thriller,Adam Sandler Emily Watson Don McManus Paul Thomas Anderson Comedy Drama Romance Thriller
eurotrip,Jeff Schaffer,Matt Damon,Scott Mechlowicz,Jacob Pitts,Comedy,Matt Damon Scott Mechlowicz Jacob Pitts Jeff Schaffer Comedy
half past dead,Don Michael Paul,Claudia Christian,Nia Peeples,Tony Plana,Action Crime Thriller,Claudia Christian Nia Peeples Tony Plana Don Michael Paul Action Crime Thriller
unaccompanied minors,Paul Feig,Tyler James Williams,Rob Riggle,B.J. Novak,Adventure Comedy Family Romance,Tyler James Williams Rob Riggle B.J. Novak Paul Feig Adventure Comedy Family Romance
"bright lights, big city",James Bridges,Dianne Wiest,Phoebe Cates,Swoosie Kurtz,Drama,Dianne Wiest Phoebe Cates Swoosie Kurtz James Bridges Drama
the adventures of pinocchio,Steve Barron,Martin Landau,Udo Kier,Bebe Neuwirth,Adventure Family Fantasy Musical,Martin Landau Udo Kier Bebe Neuwirth Steve Barron Adventure Family Fantasy Musical
the greatest game ever played,Bill Paxton,Stephen Dillane,Matthew Knight,Amanda Tilson,Drama History Sport,Stephen Dillane Matthew Knight Amanda Tilson Bill Paxton Drama History Sport
the box,Richard Kelly,Frank Langella,Gillian Jacobs,Celia Weston,Drama Fantasy Mystery Thriller,Frank Langella Gillian Jacobs Celia Weston Richard Kelly Drama Fantasy Mystery Thriller
the ruins,Carter Smith,Laura Ramsey,Jonathan Tucker,Sergio Calderón,Horror,Laura Ramsey Jonathan Tucker Sergio Calderón Carter Smith Horror
the next best thing,John Schlesinger,Mark Valley,Rupert Everett,Illeana Douglas,Comedy Drama Romance,Mark Valley Rupert Everett Illeana Douglas John Schlesinger Comedy Drama Romance
the girl next door,Luke Greenfield,Chris Marquette,Timothy Bottoms,Jacob Young,Comedy Drama Romance,Chris Marquette Timothy Bottoms Jacob Young Luke Greenfield Comedy Drama Romance
maximum risk,Ringo Lam,Natasha Henstridge,Zach Grenier,Paul Ben-Victor,Action Crime Mystery Romance Thriller,Natasha Henstridge Zach Grenier Paul Ben-Victor Ringo Lam Action Crime Mystery Romance Thriller
legend,Brian Helgeland,Tom Hardy,Paul Anderson,Tara Fitzgerald,Biography Crime Drama History Thriller,Tom Hardy Paul Anderson Tara Fitzgerald Brian Helgeland Biography Crime Drama History Thriller
hot rod,Akiva Schaffer,Sissy Spacek,Jorma Taccone,Chris Parnell,Comedy,Sissy Spacek Jorma Taccone Chris Parnell Akiva Schaffer Comedy
shark night 3d,David R. Ellis,Chris Zylka,Joel David Moore,Katharine McPhee,Horror Thriller,Chris Zylka Joel David Moore Katharine McPhee David R. Ellis Horror Thriller
angela's ashes,Alan Parker,Emily Watson,Devon Murray,Pauline McLynn,Drama,Emily Watson Devon Murray Pauline McLynn Alan Parker Drama
draft day,Ivan Reitman,Jennifer Garner,Chi McBride,Patrick St. Esprit,Drama Sport,Jennifer Garner Chi McBride Patrick St. Esprit Ivan Reitman Drama Sport
lifeforce,Tobe Hooper,Frank Finlay,Steve Railsback,Peter Firth,Action Horror Sci-Fi Thriller,Frank Finlay Steve Railsback Peter Firth Tobe Hooper Action Horror Sci-Fi Thriller
the powerpuff girls            ,unknown,Elizabeth Daily,Jennifer Hale,Tom Kane,Action Animation Comedy Family Fantasy Sci-Fi,Elizabeth Daily Jennifer Hale Tom Kane unknown Action Animation Comedy Family Fantasy Sci-Fi
the conspirator,Robert Redford,Robin Wright,Tom Wilkinson,Stephen Root,Crime Drama History,Robin Wright Tom Wilkinson Stephen Root Robert Redford Crime Drama History
lords of dogtown,Catherine Hardwicke,Heath Ledger,Michael Angarano,Rebecca De Mornay,Biography Drama Sport,Heath Ledger Michael Angarano Rebecca De Mornay Catherine Hardwicke Biography Drama Sport
the 33,Patricia Riggen,Marco Treviño,James Brolin,Jacob Vargas,Biography Drama History,Marco Treviño James Brolin Jacob Vargas Patricia Riggen Biography Drama History
big trouble in little china,John Carpenter,Victor Wong,Kate Burton,Peter Kwong,Action Adventure Comedy Fantasy,Victor Wong Kate Burton Peter Kwong John Carpenter Action Adventure Comedy Fantasy
a perfect plan,Pascal Chaumeil,Dany Boon,Malonn Lévana,Alice Pol,Comedy Romance,Dany Boon Malonn Lévana Alice Pol Pascal Chaumeil Comedy Romance
warrior,Gavin O'Connor,Tom Hardy,Frank Grillo,Kevin Dunn,Drama Sport,Tom Hardy Frank Grillo Kevin Dunn Gavin O'Connor Drama Sport
michael collins,Neil Jordan,Alan Rickman,Liam Neeson,Julia Roberts,Biography Drama Thriller War,Alan Rickman Liam Neeson Julia Roberts Neil Jordan Biography Drama Thriller War
gettysburg,Ron Maxwell,Tom Berenger,William Morgan Sheppard,James Patrick Stuart,Drama History War,Tom Berenger William Morgan Sheppard James Patrick Stuart Ron Maxwell Drama History War
stop-loss,Kimberly Peirce,Joseph Gordon-Levitt,Channing Tatum,Abbie Cornish,Drama War,Joseph Gordon-Levitt Channing Tatum Abbie Cornish Kimberly Peirce Drama War
abandon,Stephen Gaghan,Charlie Hunnam,Zooey Deschanel,Tony Goldwyn,Drama Music Mystery Romance Thriller,Charlie Hunnam Zooey Deschanel Tony Goldwyn Stephen Gaghan Drama Music Mystery Romance Thriller
brokedown palace,Jonathan Kaplan,John Doe,Tom Amandes,Daniel Lapaine,Drama Mystery Thriller,John Doe Tom Amandes Daniel Lapaine Jonathan Kaplan Drama Mystery Thriller
mrs. winterbourne,Richard Benjamin,Brendan Fraser,Jane Krakowski,Cathryn de Prume,Comedy Drama Romance,Brendan Fraser Jane Krakowski Cathryn de Prume Richard Benjamin Comedy Drama Romance
straw dogs,Rod Lurie,Alexander Skarsgård,Laz Alonso,Rhys Coiro,Action Drama Thriller,Alexander Skarsgård Laz Alonso Rhys Coiro Rod Lurie Action Drama Thriller
the hoax,Lasse Hallström,Hope Davis,Christopher Evan Welch,James Biberi,Comedy Drama,Hope Davis Christopher Evan Welch James Biberi Lasse Hallström Comedy Drama
stone cold,Craig R. Baxley,Brian Bosworth,Sam McMurray,Richard Gant,Action Crime Drama Thriller,Brian Bosworth Sam McMurray Richard Gant Craig R. Baxley Action Crime Drama Thriller
the road,John Hillcoat,Viggo Mortensen,Charlize Theron,Robert Duvall,Adventure Drama,Viggo Mortensen Charlize Theron Robert Duvall John Hillcoat Adventure Drama
sheena,John Guillermin,Tanya Roberts,Donovan Scott,Ted Wass,Adventure Fantasy,Tanya Roberts Donovan Scott Ted Wass John Guillermin Adventure Fantasy
underclassman,Marcos Siega,Cheech Marin,Nick Cannon,Kaylee DeFer,Action Comedy Crime Drama Thriller,Cheech Marin Nick Cannon Kaylee DeFer Marcos Siega Action Comedy Crime Drama Thriller
