movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres
tears of the sun,Antoine Fuqua,Bruce Willis,Tom Skerritt,Cole Hauser,Action Drama Thriller War
killers,Robert Luketic,Tom Selleck,Lisa Ann Walter,Catherine O'Hara,Action Comedy Romance Thriller
the man from u.n.c.l.e.,Guy Ritchie,Henry Cavill,Elizabeth Debicki,Christian Berkel,Action Adventure Comedy
spanglish,James L. Brooks,Adam Sandler,Paz Vega,Sarah Steele,Comedy Drama Romance
monster house,Gil Kenan,Steve Buscemi,Jon Heder,Catherine O'Hara,Animation Comedy Family Fantasy Mystery
bandits,Barry Levinson,Bruce Willis,Brían F. O'Byrne,Azura Skye,Comedy Crime Drama Romance
first knight,Jerry Zucker,Julia Ormond,Ben Cross,John Gielgud,Action Adventure Romance Thriller
anna and the king,Andy Tennant,Bai Ling,Geoffrey Palmer,Randall Duk Kim,Drama History Romance
immortals,Tarsem Singh,Henry Cavill,Daniel Sharman,Steve Byers,Action Drama Fantasy Romance
hostage,Florent-Emilio Siri,Jimmy Bennett,Bruce Willis,Ransford Doherty,Action Crime Drama Mystery Thriller
titan a.e.,Don Bluth,Matt Damon,Janeane Garofalo,Nathan Lane,Action Adventure Animation Family Sci-Fi
hollywood homicide,Ron Shelton,Harrison Ford,Bruce Greenwood,Lena Olin,Action Comedy Crime Thriller
soldier,Paul W.S. Anderson,Connie Nielsen,Sean Pertwee,Jason Scott Lee,Action Drama Sci-Fi
carriers,David Pastor,Christopher Meloni,Kiernan Shipka,Lou Taylor Pucci,Drama Horror Sci-Fi Thriller
monkeybone,Henry Selick,Brendan Fraser,Bridget Fonda,Megan Mullally,Animation Comedy Fantasy
flight of the phoenix,John Moore,Dennis Quaid,Tony Curran,Miranda Otto,Action Adventure Drama Thriller
unbreakable,M. Night Shyamalan,Robin Wright,Bruce Willis,Michael Kelly,Drama Mystery Sci-Fi Thriller
minions,Kyle Balda,Steve Carell,Jon Hamm,Steve Coogan,Action Animation Comedy Family Sci-Fi
sucker punch,Zack Snyder,Jon Hamm,Abbie Cornish,Scott Glenn,Action Fantasy
snake eyes,Brian De Palma,Nicolas Cage,Mike Starr,John Heard,Crime Mystery Thriller
sphere,Barry Levinson,Peter Coyote,James Pickens Jr.,Huey Lewis,Drama Mystery Sci-Fi Thriller
the angry birds movie,Clay Kaytis,Peter Dinklage,Josh Gad,Keegan-Michael Key,Action Animation Comedy Family
fool's gold,Andy Tennant,Matthew McConaughey,Ray Winstone,Alexis Dziena,Action Adventure Comedy Romance Thriller
funny people,Judd Apatow,Adam Sandler,RZA,Maude Apatow,Comedy Drama
the kingdom,Peter Berg,Jennifer Garner,Frances Fisher,Tim McGraw,Action Drama Thriller
talladega nights: the ballad of ricky bobby,Adam McKay,Will Ferrell,Leslie Bibb,Gary Cole,Action Comedy Sport
dr. dolittle 2,Steve Carr,Raven-Symoné,Jeffrey Jones,Kevin Pollak,Comedy Family Fantasy
braveheart,Mel Gibson,Mhairi Calvey,Patrick McGoohan,James Robinson,Biography Drama History War
jarhead,Sam Mendes,Jake Gyllenhaal,Brian Geraghty,James Morrison,Action Drama War
the simpsons movie,David Silverman,Albert Brooks,Yeardley Smith,Marcia Wallace,Adventure Animation Comedy
the majestic,Frank Darabont,Martin Landau,Hal Holbrook,Jeffrey DeMunn,Drama Romance
driven,Renny Harlin,Sylvester Stallone,Estella Warren,Cristián de la Fuente,Action Drama Sport
two brothers,Jean-Jacques Annaud,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,Adventure Drama Family
the village,M. Night Shyamalan,Bryce Dallas Howard,Judy Greer,William Hurt,Drama Mystery Romance Thriller
doctor dolittle,Betty Thomas,Oliver Platt,Raven-Symoné,Peter Boyle,Comedy Family Fantasy
signs,M. Night Shyamalan,Rory Culkin,Merritt Wever,Cherry Jones,Drama Sci-Fi Thriller
shrek 2,Andrew Adamson,Rupert Everett,Jennifer Saunders,Conrad Vernon,Adventure Animation Comedy Family Fantasy Romance
cars,John Lasseter,John Ratzenberger,Cheech Marin,George Carlin,Adventure Animation Comedy Family Sport
runaway bride,Garry Marshall,Julia Roberts,Christopher Meloni,Hector Elizondo,Comedy Romance
xxx,Rob Cohen,Vin Diesel,Eve,Leila Arcieri,Action Adventure Thriller
the spongebob movie: sponge out of water,Paul Tibbitt,Tim Conway,Billy West,Eddie Deezen,Adventure Animation Comedy Family Fantasy
ransom,Ron Howard,Lili Taylor,Delroy Lindo,Rene Russo,Crime Thriller
inglourious basterds,Quentin Tarantino,Michael Fassbender,Brad Pitt,Christoph Waltz,Adventure Drama War
hook,Steven Spielberg,Robin Williams,Julia Roberts,Bob Hoskins,Adventure Comedy Family Fantasy
hercules,Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,Action Adventure
die hard 2,Renny Harlin,Bruce Willis,John Amos,Franco Nero,Action Thriller
s.w.a.t.,Clark Johnson,Jeremy Renner,Josh Charles,LL Cool J,Action Adventure Crime Thriller
sleepy hollow            ,unknown,Nicole Beharie,Katia Winter,Lyndie Greenwood,Adventure Drama Fantasy Mystery Thriller
vanilla sky,Cameron Crowe,Tom Cruise,Ivana Milicevic,Noah Taylor,Fantasy Mystery Romance Sci-Fi Thriller
lady in the water,M. Night Shyamalan,Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban,Drama Fantasy Mystery Thriller
avp: alien vs. predator,Paul W.S. Anderson,Sanaa Lathan,Colin Salmon,Raoul Bova,Action Horror Sci-Fi Thriller
alvin and the chipmunks: the squeakquel,Betty Thomas,Amy Poehler,Bridgit Mendler,Jesse McCartney,Animation Comedy Family Fantasy Music
we were soldiers,Randall Wallace,Jon Hamm,Marc Blucas,Chris Klein,Action Drama History War
olympus has fallen,Antoine Fuqua,Gerard Butler,Morgan Freeman,Radha Mitchell,Action Thriller
star trek: insurrection,Jonathan Frakes,LeVar Burton,Jonathan Frakes,Michael Dorn,Action Adventure Sci-Fi Thriller
battle los angeles,Jonathan Liebesman,Noel Fisher,Jim Parrack,Ramon Rodriguez,Action Sci-Fi
big fish,Tim Burton,Steve Buscemi,Alison Lohman,Albert Finney,Adventure Drama Fantasy
wolf,Mike Nichols,David Hyde Pierce,Peter Gerety,Ron Rifkin,Drama Horror Romance Thriller
war horse,Steven Spielberg,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,Drama War
the monuments men,George Clooney,Bill Murray,Matt Damon,Bob Balaban,Drama War
the abyss,James Cameron,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,Adventure Drama Sci-Fi Thriller
wall street: money never sleeps,Oliver Stone,Frank Langella,Austin Pendleton,John Buffalo Mailer,Drama
dracula untold,Gary Shore,Dominic Cooper,Sarah Gadon,Zach McGowan,Action Drama Fantasy Horror War
the siege,Edward Zwick,Denzel Washington,Bruce Willis,Mark Valley,Action Thriller
stardust,Matthew Vaughn,Henry Cavill,David Kelly,Nathaniel Parker,Adventure Family Fantasy Romance
seven years in tibet,Jean-Jacques Annaud,Brad Pitt,Mako,Victor Wong,Adventure Biography Drama History War
the dilemma,Ron Howard,Channing Tatum,Clint Howard,Chelcie Ross,Comedy Drama
bad company,Joel Schumacher,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,Action Adventure Comedy Thriller
doom,Andrzej Bartkowiak,Dwayne Johnson,Ben Daniels,Dexter Fletcher,Action Adventure Horror Sci-Fi
i spy,Betty Thomas,Gary Cole,Phill Lewis,Tate Taylor,Action Adventure Comedy Thriller
underworld: awakening,Måns Mårlind,Theo James,Stephen Rea,Sandrine Holt,Action Fantasy Horror
rock of ages,Adam Shankman,James Martin Kelly,Shane Hartline,Celina Beach,Comedy Drama Musical Romance
hart's war,Gregory Hoblit,Bruce Willis,Cole Hauser,Rory Cochrane,Drama War
killer elite,Gary McKendry,Jason Statham,Robert De Niro,Ben Mendelsohn,Action Crime Thriller
rollerball,John McTiernan,LL Cool J,Chris Klein,Andrew Bryniarski,Action Sci-Fi Sport
ballistic: ecks vs. sever,Wych Kaosayananda,Talisa Soto,Sandrine Holt,Gregg Henry,Action Crime Sci-Fi Thriller
hard rain,Mikael Salomon,Morgan Freeman,Minnie Driver,Randy Quaid,Action Crime Drama Thriller
osmosis jones,Bobby Farrelly,Ron Howard,Brandy Norwood,David Hyde Pierce,Action Adventure Animation Comedy Crime Family Fantasy
legends of oz: dorothy's return,Will Finn,Lea Michele,Oliver Platt,Jim Belushi,Adventure Animation Family Fantasy Musical
blackhat,Michael Mann,Chris Hemsworth,Archie Kao,Brandon Molale,Action Crime Drama Mystery Thriller
sky captain and the world of tomorrow,Kerry Conran,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,Action Adventure Mystery Sci-Fi Thriller
basic instinct 2,Michael Caton-Jones,Charlotte Rampling,Indira Varma,Neil Maskell,Crime Mystery Thriller
escape plan,Mikael Håfström,Sylvester Stallone,50 Cent,Matt Gerald,Action Crime Mystery Sci-Fi Thriller
the legend of hercules,Renny Harlin,Roxanne McKee,Luke Newberry,Gaia Weiss,Action Adventure Fantasy
the sum of all fears,Phil Alden Robinson,Morgan Freeman,Bruce McGill,Philip Baker Hall,Action Drama Thriller
the twilight saga: eclipse,David Slade,Robert Pattinson,Kristen Stewart,Anna Kendrick,Adventure Drama Fantasy Romance
the score,Frank Oz,Robert De Niro,Marlon Brando,Gary Farmer,Crime Drama Thriller
despicable me,Pierre Coffin,Steve Carell,Miranda Cosgrove,Jack McBrayer,Animation Comedy Family
money train,Joseph Ruben,Vincent Pastore,Robert Blake,Aida Turturro,Action Comedy Crime Drama Thriller
ted 2,Seth MacFarlane,Liam Neeson,Morgan Freeman,Seth MacFarlane,Comedy
agora,Alejandro Amenábar,Max Minghella,Ashraf Barhom,Rupert Evans,Adventure Drama History Romance
mystery men,Kinka Usher,Janeane Garofalo,Wes Studi,Eddie Izzard,Action Comedy Fantasy Sci-Fi
hall pass,Bobby Farrelly,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,Comedy Romance
the insider,Michael Mann,Al Pacino,Rip Torn,Debi Mazar,Biography Drama Thriller
the finest hours,Craig Gillespie,Michael Raymond-James,Abraham Benrubi,Graham McTavish,Action Drama History Thriller
body of lies,Ridley Scott,Leonardo DiCaprio,Simon McBurney,Michael Gaston,Action Drama Thriller
dinner for schmucks,Jay Roach,Steve Carell,Stephanie Szostak,Bruce Greenwood,Comedy
abraham lincoln: vampire hunter,Timur Bekmambetov,Rufus Sewell,Dominic Cooper,Benjamin Walker,Action Fantasy Horror
entrapment,Jon Amiel,Will Patton,Kevin McNally,Maury Chaykin,Action Crime Romance Thriller
last man standing            ,unknown,Hector Elizondo,Kaitlyn Dever,Nancy Travis,Comedy
the x files,Rob Bowman,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,Drama Mystery Sci-Fi Thriller
the last legion,Doug Lefler,Colin Firth,Nonso Anozie,Owen Teale,Action Adventure Fantasy War
saving private ryan,Steven Spielberg,Tom Hanks,Vin Diesel,Matt Damon,Action Drama War
need for speed,Scott Waugh,Rami Malek,Dominic Cooper,Ramon Rodriguez,Action Crime Drama Thriller
what women want,Nancy Meyers,Judy Greer,Lisa Edelstein,Loretta Devine,Comedy Fantasy Romance
ice age,Chris Wedge,Goran Visnjic,Stephen Root,Denis Leary,Adventure Animation Comedy Family
dreamcatcher,Lawrence Kasdan,Morgan Freeman,Michael O'Neill,Reece Thompson,Drama Horror Sci-Fi Thriller
lincoln,Steven Spielberg,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,Biography Drama History War
the matrix,Lana Wachowski,Keanu Reeves,Marcus Chong,Gloria Foster,Action Sci-Fi
apollo 13,Ron Howard,Tom Hanks,Miko Hughes,Kathleen Quinlan,Adventure Drama History
total recall,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,Action Sci-Fi
the santa clause 2,Michael Lembeck,Judge Reinhold,Aisha Tyler,Eric Lloyd,Comedy Family Fantasy
les misérables,Tom Hooper,Hugh Jackman,Eddie Redmayne,Anne Hathaway,Drama Musical Romance
you've got mail,Nora Ephron,Tom Hanks,Jean Stapleton,Dave Chappelle,Comedy Drama Romance
step brothers,Adam McKay,Will Ferrell,Adam Scott,Andrea Savage,Comedy
the mask of zorro,Martin Campbell,Anthony Hopkins,Tony Amendola,Stuart Wilson,Action Adventure Comedy Romance Thriller Western
due date,Todd Phillips,Robert Downey Jr.,RZA,Matt Walsh,Comedy Drama
unbroken,Angelina Jolie Pitt,Finn Wittrock,Jack O'Connell,Alex Russell,Biography Drama Sport War
space cowboys,Clint Eastwood,Clint Eastwood,Courtney B. Vance,William Devane,Action Adventure Thriller
cliffhanger,Renny Harlin,Sylvester Stallone,Leon,Janine Turner,Action Adventure Thriller
broken arrow,John Woo,Delroy Lindo,Samantha Mathis,Bob Gunton,Action Crime Thriller
the kid,Jon Turteltaub,Bruce Willis,Lily Tomlin,Daniel von Bargen,Comedy Family Fantasy
world trade center,Oliver Stone,Nicolas Cage,Jay Hernandez,Armando Riesco,Drama History Thriller
mona lisa smile,Mike Newell,Julia Roberts,Kirsten Dunst,Marian Seldes,Drama
the dictator,Larry Charles,Sayed Badreya,Aasif Mandvi,Horatio Sanz,Comedy Romance
eyes wide shut,Stanley Kubrick,Tom Cruise,Vinessa Shaw,Sydney Pollack,Drama Mystery Thriller
annie,Will Gluck,Quvenzhané Wallis,Dorian Missick,David Zayas,Comedy Drama Family Musical
focus,Glenn Ficarra,Will Smith,Adrian Martinez,Gerald McRaney,Comedy Crime Drama Romance
this means war,McG,Tom Hardy,Abigail Spencer,Warren Christie,Action Comedy Romance
blade: trinity,David S. Goyer,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,Action Adventure Fantasy Horror Sci-Fi Thriller
red dawn,John Milius,Lea Thompson,Jennifer Grey,William Smith,Action Drama War
primary colors,Mike Nichols,Maura Tierney,Adrian Lester,Paul Guilfoyle,Comedy Drama
resident evil: retribution,Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Bingbing Li,Action Horror Sci-Fi Thriller
death race,Paul W.S. Anderson,Jason Statham,Max Ryan,Joan Allen,Action Sci-Fi Thriller
the long kiss goodnight,Renny Harlin,Melina Kanakaredes,Craig Bierko,Yvonne Zima,Action Crime Drama Mystery Thriller
proof of life,Taylor Hackford,Pamela Reed,Alun Armstrong,Michael Kitchen,Action Drama Thriller
zathura: a space adventure,Jon Favreau,Kristen Stewart,Josh Hutcherson,Jonah Bobo,Action Adventure Comedy Family Fantasy Sci-Fi
fight club,David Fincher,Brad Pitt,Meat Loaf,Eugenie Bondurant,Drama
we are marshall,McG,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,Drama Sport
the missing            ,unknown,Jason Flemyng,James Nesbitt,Frances O'Connor,Crime Drama Mystery
hudson hawk,Michael Lehmann,Bruce Willis,James Coburn,Richard E. Grant,Action Adventure Comedy
lucky numbers,Nora Ephron,Michael Rapaport,Michael Moore,Richard Schiff,Comedy Crime
"i, frankenstein",Stuart Beattie,Caitlin Stasey,Kevin Grevioux,Miranda Otto,Action Fantasy Sci-Fi Thriller
oliver twist,Roman Polanski,Ian McNeice,Barney Clark,Tony Noble,Crime Drama
elektra,Rob Bowman,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,Action Crime Fantasy Thriller
sin city: a dame to kill for,Frank Miller,Joseph Gordon-Levitt,Bruce Willis,Eva Green,Action Crime Thriller
random hearts,Sydney Pollack,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,Drama Mystery Romance
everest,Baltasar Kormákur,Michael Kelly,Martin Henderson,Tom Goodman-Hill,Adventure Biography Drama History Sport Thriller
perfume: the story of a murderer,Tom Tykwer,Michael Smiley,David Calder,Simon Chandler,Crime Drama Fantasy
austin powers in goldmember,Jay Roach,Verne Troyer,Josh Zuckerman,Robert Wagner,Action Comedy Crime
astro boy,David Bowers,Nicolas Cage,Charlize Theron,Dee Bradley Baker,Action Animation Comedy Family Sci-Fi
jurassic park,Steven Spielberg,Wayne Knight,Ariana Richards,Bob Peck,Adventure Sci-Fi Thriller
wyatt earp,Lawrence Kasdan,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,Adventure Biography Crime Drama Western
clear and present danger,Phillip Noyce,Harrison Ford,Dean Jones,Raymond Cruz,Action Crime Drama Thriller
dragon blade,Daniel Lee,Si Won Choi,Peng Lin,Sung-jun Yoo,Action Adventure Drama History
littleman,Keenen Ivory Wayans,Chazz Palminteri,Brittany Daniel,John Witherspoon,Comedy Crime
u-571,Jonathan Mostow,Matthew McConaughey,Thomas Kretschmann,David Keith,Action War
the american president,Rob Reiner,Shawna Waldron,Samantha Mathis,Wendie Malick,Comedy Drama Romance
the love guru,Marco Schnabel,Justin Timberlake,Romany Malco,Verne Troyer,Comedy Romance Sport
3000 miles to graceland,Demian Lichtenstein,Jon Lovitz,Bokeem Woodbine,Ice-T,Action Comedy Crime Thriller
the hateful eight,Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,Zoë Bell,Crime Drama Mystery Thriller Western
blades of glory,Josh Gordon,Will Ferrell,Amy Poehler,Jon Heder,Comedy Sport
hop,Tim Hill,Gary Cole,Elizabeth Perkins,Chelsea Handler,Adventure Animation Comedy Family Fantasy
300,Zack Snyder,Gerard Butler,Michael Fassbender,Vincent Regan,Action Drama Fantasy War
meet the fockers,Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy Romance
marley & me,David Frankel,Eric Dane,Kathleen Turner,Haley Bennett,Comedy Drama Family
the green mile,Frank Darabont,Tom Hanks,Jeffrey DeMunn,Michael Jeter,Crime Drama Fantasy Mystery
wild hogs,Walt Becker,Jill Hennessy,Tichina Arnold,Drew Sidora,Action Adventure Comedy
chicken little,Mark Dindal,Catherine O'Hara,Fred Willard,Amy Sedaris,Adventure Animation Comedy Family Sci-Fi
gone girl,David Fincher,Patrick Fugit,Sela Ward,Emily Ratajkowski,Crime Drama Mystery Thriller
the bourne identity,Doug Liman,Matt Damon,Josh Hamilton,Nicky Naudé,Action Mystery Thriller
goldeneye,Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,Action Adventure Thriller
the general's daughter,Simon West,Daniel von Bargen,Timothy Hutton,Clarence Williams III,Drama Mystery Thriller
the truman show,Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause,Comedy Drama Sci-Fi
the prince of egypt,Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,Adventure Animation Biography Drama Family Fantasy Musical
daddy day care,Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin,Comedy Family
2 guns,Baltasar Kormákur,Denzel Washington,Patrick Fischler,Fred Ward,Action Comedy Crime Drama Thriller
cats & dogs,Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,Action Comedy Family Fantasy
the italian job,F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,Action Crime Thriller
two weeks notice,Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey,Comedy Romance
antz,Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,Adventure Animation Comedy Family
couples retreat,Peter Billingsley,Jon Favreau,Kristin Davis,Tasha Smith,Comedy
days of thunder,Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid,Action Drama Sport
cheaper by the dozen 2,Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,Adventure Comedy Family
the scorch trials,Wes Ball,Ki Hong Lee,Lili Taylor,Rosa Salazar,Action Sci-Fi Thriller
eat pray love,Ryan Murphy,James Franco,Julia Roberts,Billy Crudup,Drama Romance
the family man,Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta,Comedy Drama Fantasy Romance
red,Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,Action Comedy Crime Thriller
any given sunday,Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,Drama Sport
the horse whisperer,Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,Drama Romance Western
collateral,Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar,Crime Drama Thriller
the scorpion king,Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,Action Adventure Fantasy Thriller
ladder 49,Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett,Action Drama Thriller
jack reacher,Christopher McQuarrie,Tom Cruise,Robert Duvall,David Oyelowo,Action Crime Mystery Thriller
deep blue sea,Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,Action Sci-Fi Thriller
this is it,Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Documentary Music
contagion,Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,Drama Thriller
kangaroo jack,David McNally,Estella Warren,Dyan Cannon,Bill Hunter,Action Adventure Comedy Crime
coraline,Henry Selick,Jennifer Saunders,Dawn French,John Hodgman,Animation Family Fantasy
the happening,M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,Sci-Fi Thriller
man on fire,Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Action Crime Drama Thriller
the shaggy dog,Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,Comedy Family Fantasy
starsky & hutch,Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,Comedy Crime
jingle all the way,Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,Comedy Family
hellboy,Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,Action Fantasy Horror Sci-Fi
a civil action,Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Drama
paranorman,Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Adventure Animation Comedy Family Fantasy
the jackal,Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,Action Adventure Crime Thriller
paycheck,John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,Action Mystery Sci-Fi Thriller
up close & personal,Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,Drama Romance
the tale of despereaux,Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,Adventure Animation Comedy Family Fantasy
rules of engagement            ,unknown,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,Comedy Romance
the tuxedo,Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,Action Comedy Sci-Fi
under siege 2: dark territory,Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Action Thriller
jack ryan: shadow recruit,Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,Action Drama Thriller
joy,David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Biography Comedy Drama
london has fallen,Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,Action Crime Drama Thriller
alien: resurrection,Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,Action Horror Sci-Fi
shooter,Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,Action Crime Drama Mystery Thriller
the boxtrolls,Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Adventure Animation Comedy Family Fantasy
practical magic,Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,Comedy Drama Fantasy Romance
the lego movie,Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,Action Adventure Animation Comedy Family Fantasy
miss congeniality 2: armed and fabulous,John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,Action Comedy Crime
reign of fire,Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,Action Adventure Fantasy Sci-Fi Thriller
gangster squad,Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,Action Crime Drama Thriller
year one,Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,Adventure Comedy
invictus,Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,Biography Drama History Sport
state of play,Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston,Crime Drama Mystery Thriller
duplicity,Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,Comedy Crime Romance Thriller
my favorite martian,Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,Comedy Family Sci-Fi
the sentinel,Clark Johnson,Blair Brown,David Rasche,Martin Donovan,Action Crime Thriller
planet 51,Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,Adventure Animation Comedy Family Sci-Fi
star trek: nemesis,Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,Action Adventure Sci-Fi Thriller
intolerable cruelty,Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,Comedy Crime Romance
trouble with the curve,Robert Lorenz,Clint Eastwood,Ed Lauter,Bob Gunton,Drama Sport
edge of darkness,Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,Crime Drama Mystery Thriller
the relic,Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,Horror Mystery Sci-Fi Thriller
analyze that,Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli,Comedy Crime
righteous kill,Jon Avnet,Robert De Niro,Al Pacino,50 Cent,Action Crime Drama Mystery Thriller
mercury rising,Harold Becker,Bruce Willis,Miko Hughes,Carrie Preston,Action Crime Drama Thriller
the soloist,Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris,Biography Drama Music
the legend of bagger vance,Robert Redford,Matt Damon,Will Smith,Charlize Theron,Drama Fantasy Sport
almost famous,Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,Adventure Comedy Drama Music
garfield 2,Tim Hill,Bill Murray,Roger Rees,Ben Falcone,Animation Comedy Family Fantasy
xxx: state of the union,Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,Action Adventure Crime Thriller
priest,Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,Action Fantasy Horror Sci-Fi Thriller
sinbad: legend of the seven seas,Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,Adventure Animation Comedy Drama Family Fantasy Romance
event horizon,Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan,Horror Sci-Fi Thriller
the avengers,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi
dragonfly,Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,Drama Fantasy Mystery Romance Thriller
the black dahlia,Brian De Palma,Scarlett Johansson,Mia Kirshner,Mike Starr,Crime Drama Mystery Thriller
flyboys,Tony Bill,James Franco,Tyler Labine,Philip Winchester,Action Adventure Drama History Romance War
the last castle,Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,Action Drama Thriller
supernova,Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,Horror Sci-Fi Thriller
winter's tale,Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,Drama Fantasy Mystery Romance
the mortal instruments: city of bones,Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,Fantasy Horror Mystery Romance
meet dave,Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,Adventure Comedy Family Romance Sci-Fi
dark water,Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,Drama Horror Thriller
edtv,Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,Comedy Drama
inkheart,Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman,Adventure Family Fantasy
the spirit,Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,Action Crime Fantasy Thriller
mortdecai,David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,Action Comedy Mystery Romance
